URL,Scraped_Time,Condition,Car Make,Model,Trim,Year,Kilometers,Body Type,Number of Seats,Fuel,Transmission,Engine Size (cc),Exterior Color,Interior Color,Regional Specs,Car License,Insurance,Car Customs,Body Condition,Paint,Payment Method,City,Neighborhood,Interior Options,Exterior Options,Technology Options,Price,Description_Score,Battery Capacity,Battery Range
https://jo.opensooq.com/en/search/257669123,2025-02-06 20:16:43,New,Tesla,Model 3,Standard Plus,2022,0,Sedan,5,Electric,Automatic,,White,Black,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash or Installments,Amman,Tabarboor,"Electric Seat Control, Sport Seats, Steering Wheel Controls, Electric rear seat, Memory Seats, Heated Steering Wheel, Electric Windows, Air Condition, Center Lock, Alarm System, Heated Seats, AUX / USB Input, CD player, Airbags, Leather Seats","Rear Sensors, Sports Package, Keyless Entry, Back Hook, Sunroof, Panoramic Roof, Electrically Folding Mirrors, Daytime Running Lights, Electric Mirrors, Rim Wheels, Xenon Lights, Front Sensors, LED Lights","Blind Spot Alert, Auto Lock System, Lane Departure Alert, 360° Camera, Apple CarPlay, Tyre Pressure Monitoring, Rear Camera, Android Auto, Diff Lock, Traction Control, Voice Control, Radar, Cruise Control, Bluetooth, Touch Screen, Park assist, Remote Start, Media Screen, Sport Suspension, Forward Collision Alert, ABS Brakes, Navigation system / maps",21500,فحص كامل,50 - 69 kWh,400 - 499 km
https://jo.opensooq.com/en/search/258409107,2025-02-06 20:16:49,Used,Hyundai,Ioniq,5,2023,"90,000 - 99,999",SUV,5,Electric,Automatic,,Grey,Nardo Grey,American Specs,Licensed,Compulsory Insurance,With Customs,Other,Partially repainted,Cash Only,Amman,Daheit Al Rasheed,"Heated Seats, Air Condition, AUX / USB Input, Alarm System, Airbags, Electric Seat Control, Steering Wheel Controls, Electric Windows, Center Lock","Daytime Running Lights, Rim Wheels","Blind Spot Alert, Cruise Control, Lane Departure Alert, Traction Control, Tyre Pressure Monitoring, Navigation system / maps, Radar, Voice Control, Touch Screen, Apple CarPlay, Media Screen, Bluetooth, ABS Brakes, Forward Collision Alert, Rear Camera",21200,فحص كامل,70 - 89 kWh,More than 500 km
https://jo.opensooq.com/en/search/258750897,2025-02-06 20:17:06,Used,Volkswagen,ID 4,ID.4 X,2022,"90,000 - 99,999",SUV,5,Electric,Automatic,,Grey,Bronze,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash Only,Irbid,Al Hay Al Sharqy,"Center Lock, Heated Seats, AUX / USB Input, CD player, Airbags, Leather Seats, Electric Seat Control, Sport Seats, Steering Wheel Controls, Heated Steering Wheel, Memory Seats, Air Condition, Electric Windows, Alarm System","Daytime Running Lights, Electric Mirrors, Rim Wheels, Xenon Lights, Front Sensors, LED Lights, Rear Sensors, Sports Package, Keyless Entry, Back Hook, Sunroof, Panoramic Roof, Electrically Folding Mirrors","Bluetooth, Media Screen, Navigation system / maps, Remote Start, ABS Brakes, Forward Collision Alert, Auto Lock System, Blind Spot Alert, Rear Camera, Apple CarPlay, Lane Departure Alert, Traction Control, Android Auto, Tyre Pressure Monitoring, Cruise Control, Voice Control, Radar, Park assist, Hud Projector, Touch Screen, Sport Suspension",22500,7,70 - 89 kWh,More than 500 km
https://jo.opensooq.com/en/search/257898229,2025-02-06 20:17:33,Used,Volkswagen,Golf,E-Golf,2017,"50,000 - 59,999",HatchBack,5,Electric,Automatic,,Navy Blue,Beige,American Specs,Licensed,Comprehensive Insurance,With Customs,Excellent with no defects,Original Paint,Cash Only,Amman,7th Circle,"AUX / USB Input, Leather Seats, Airbags, Air Condition, Electric Seat Control, Steering Wheel Controls, Electric Windows, Center Lock, Heated Seats, CD player","Electric Mirrors, LED Lights, Daytime Running Lights, Spare Tyre, Rim Wheels, Front Sensors, Rear Sensors, Keyless Entry","ABS Brakes, Rear Camera, Apple CarPlay, Traction Control, Android Auto, Cruise Control, Voice Control, Bluetooth, Forward Collision Alert, Touch Screen",15000,4,Less than 50 kWh,200 - 299 km
https://jo.opensooq.com/en/search/258749739,2025-02-06 20:17:39,New,Honda,e:N,e:NS1,2023,0,SUV,5,Electric,Automatic,,Baby Blue,White,Japanese Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash Only,Irbid,Al Thaqafa Circle,"Memory Seats, Sport Seats, Electric Seat Control, Cooled Seats, Steering Wheel Controls, Electric rear seat, Electric Windows, Heated Steering Wheel, Center Lock, Air Condition, Heated Seats, Alarm System, AUX / USB Input, CD player, Airbags, Leather Seats","Front Sensors, Xenon Lights, Spare Tyre, LED Lights, Rear Sensors, Sports Package, Keyless Entry, Back Hook, Sunroof, Panoramic Roof, Daytime Running Lights, Electrically Folding Mirrors, Rim Wheels, Electric Mirrors","Bluetooth, Media Screen, Navigation system / maps, Forward Collision Alert, Auto Lock System, Blind Spot Alert, Rear Camera, Lane Departure Alert, 360° Camera, Apple CarPlay, Tyre Pressure Monitoring, Traction Control, Android Auto, Diff Lock, Cruise Control, Voice Control, Radar, Park assist, Hud Projector, Touch Screen, Sport Suspension",17688,,70 - 89 kWh,More than 500 km
https://jo.opensooq.com/en/search/258749177,2025-02-06 20:17:44,Used,Hyundai,Ioniq,5,2022,"50,000 - 59,999",SUV,5,Electric,Automatic,,White,Grey,Korean Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Partially repainted,Cash Only,Amman,Jabal Al Naser,"AUX / USB Input, Sport Seats, Airbags, Cooled Seats, Electric Seat Control, Heated Steering Wheel, Steering Wheel Controls, Air Condition, Electric Windows, Alarm System, Center Lock, Heated Seats, Leather Seats","Rear Sensors, Keyless Entry, Electrically Folding Mirrors, Electric Mirrors, Xenon Lights, Daytime Running Lights, LED Lights, Rim Wheels, Back Hook, Front Sensors","Android Auto, Radar, Cruise Control, Voice Control, Touch Screen, Park assist, Bluetooth, Media Screen, Navigation system / maps, Remote Start, ABS Brakes, Sport Suspension, Forward Collision Alert, Auto Lock System, Blind Spot Alert, 360° Camera, Lane Departure Alert, Rear Camera, Apple CarPlay, Tyre Pressure Monitoring, Traction Control",23500,فحص كامل,70 - 89 kWh,More than 500 km
https://jo.opensooq.com/en/search/258412989,2025-02-06 20:17:48,Used,Nissan,Sylphy,SV,2019,"40,000 - 49,999",Sedan,5,Electric,Automatic,,Black,Black,Japanese Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash or Installments,Irbid,Al-Hashmy Street,"AUX / USB Input, Airbags, Steering Wheel Controls, Electric Windows, Center Lock, CD player, Air Condition, Alarm System","Daytime Running Lights, Spare Tyre, Rear Sensors, Electric Mirrors, LED Lights","Bluetooth, Traction Control, Forward Collision Alert, Sport Suspension, Tyre Pressure Monitoring, Navigation system / maps, Touch Screen, Media Screen, Apple CarPlay, ABS Brakes, Android Auto, Auto Lock System, Voice Control, Rear Camera",11900,7,Less than 50 kWh,300 - 399 km
https://jo.opensooq.com/en/search/258748499,2025-02-06 20:18:05,Used,Volkswagen,Golf,E-Golf,2016,"120,000 - 129,999",HatchBack,5,Electric,Automatic,,Navy Blue,Navy Blue,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash Only,Amman,Arjan,"AUX / USB Input, Airbags, Electric Seat Control, Electric Windows, Center Lock, Heated Seats, CD player, Air Condition","Daytime Running Lights, Rim Wheels, Electric Mirrors, LED Lights","Traction Control, Bluetooth, Touch Screen, ABS Brakes, Rear Camera",8900,7,More than 100 kWh,100 - 199 km
https://jo.opensooq.com/en/search/257752613,2025-02-06 20:18:21,Used,Ford,Focus,RS,2015,"140,000 - 149,999",HatchBack,5,Electric,Automatic,,Grey,Beige,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash Only,Amman,Shafa Badran,"Air Condition, AUX / USB Input, Airbags, Electric Seat Control, Steering Wheel Controls, Center Lock, Leather Seats","Daytime Running Lights, Electric Mirrors","Bluetooth, ABS Brakes, Rear Camera",6500,7,Less than 50 kWh,Less than 100 km
https://jo.opensooq.com/en/search/258746753,2025-02-06 20:18:27,Used,Honda,e:N,e:NS1,2023,"20,000 - 29,999",SUV,5,Electric,Automatic,,Black,Black,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash Only,Salt,Al Balqa',"Heated Seats, Leather Seats, AUX / USB Input, Air Condition, Airbags, Alarm System, Electric Seat Control, Steering Wheel Controls, Electric Windows, Center Lock","Electrically Folding Mirrors, Electric Mirrors, Xenon Lights, LED Lights, Daytime Running Lights, Rear Sensors, Keyless Entry, Panoramic Roof","Blind Spot Alert, 360° Camera, Lane Departure Alert, Rear Camera, Tyre Pressure Monitoring, Traction Control, Apple CarPlay, Radar, Cruise Control, Voice Control, Touch Screen, Park assist, Bluetooth, Media Screen, Sport Suspension, Remote Start, ABS Brakes, Navigation system / maps, Forward Collision Alert, Auto Lock System",22000,,Less than 50 kWh,400 - 499 km
