Condition,Car Make,is_luxury,Model,Model_encoded,Trim,Trim_encoded,Year,car_age,car_age_sqrt,Kilometers Numerical,age_km_interaction,Body Type,Number of Seats,Fuel,Transmission,Engine Size (cc),Regional Specs,Car License,Insurance,Car Customs,Body Condition,body_condition_encoded,Paint,paint_condition_encoded,interior_steering_wheel_controls,interior_airbags,technology_cruise_control,exterior_rear_sensors,exterior_keyless_entry,technology_tyre_pressure_monitoring,exterior_front_sensors,interior_electric_seat_control,technology_traction_control,technology_voice_control,technology_blind_spot_alert,technology_forward_collision_alert,technology_lane_departure_alert,technology_navigation_system_/_maps,Interior_Options_Count,Interior_Options_Count_cuberoot,Exterior_Options_Count,Exterior_Options_Count_cuberoot,Technology_Options_Count,Technology_Options_Count_cuberoot,tech_features_count,has_advanced_tech,Total_Options_Count,Total_Options_Count_cuberoot,weighted_options,Battery Capacity,Battery Range,log_price,maintenance_score,excellent_maintenance,size_class
New,Tesla,1,Model 3,81,Standard Plus,165,2022,3,1.732050808,0,0,Sedan,5,Electric,Automatic,5499,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2.466212074,13,2.351334688,22,2.802039331,8,1,50,3.684031499,17.2,59,449,9.975854725,7,1,medium
Used,Hyundai,0,Ioniq,70,5,8,2023,2,1.414213562,94643.87367,189287.7473,SUV,5,Electric,Automatic,1499,American Specs,Licensed,Compulsory Insurance,With Customs,Other,0,Partially repainted,2,1,1,1,0,0,1,0,1,1,1,1,1,1,1,9,2.080083823,2,1.25992105,15,2.466212074,8,1,26,2.962496068,9.3,79,500,9.961803629,2,0,large
Used,Volkswagen,0,ID 4,67,ID.4 X,94,2022,3,1.732050808,94587.73321,283763.1996,SUV,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,2.410142264,13,2.351334688,21,2.758924176,8,1,48,3.634241186,16.5,79,500,10.02131503,7,1,large
Used,Volkswagen,0,Golf,61,E-Golf,35,2017,8,2.828427125,54725.15623,437801.2498,HatchBack,5,Electric,Automatic,1499,American Specs,Licensed,Comprehensive Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,0,1,1,1,1,0,1,0,0,10,2.15443469,8,2,10,2.15443469,4,1,28,3.036588972,9.4,50,249,9.615872145,7,1,medium
New,Honda,0,e:N,123,e:NS1,187,2023,2,1.414213562,0,0,SUV,5,Electric,Automatic,1499,Japanese Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,2.5198421,14,2.410142264,21,2.758924176,8,1,51,3.708429769,17.4,79,500,9.780698256,7,1,large
Used,Hyundai,0,Ioniq,70,5,8,2022,3,1.732050808,55273.78469,165821.3541,SUV,5,Electric,Automatic,1499,Korean Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Partially repainted,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2.351334688,10,2.15443469,21,2.758924176,8,1,44,3.530348335,15.3,79,500,10.06479825,6,0,large
Used,Nissan,0,Sylphy,109,SV,152,2019,6,2.449489743,44938.12709,269628.7625,Sedan,5,Electric,Automatic,1499,Japanese Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,0,1,0,1,0,0,1,1,0,1,0,1,8,2,5,1.709975947,14,2.410142264,5,1,27,3,9.5,50,349,9.384377709,7,1,medium
Used,Volkswagen,0,Golf,61,E-Golf,35,2016,9,3,125312.3921,1127811.529,HatchBack,5,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,8,2,4,1.587401052,5,1.709975947,1,0,17,2.571281591,5.6,100,149,9.093918909,7,1,medium
Used,Ford,0,Focus,57,RS,140,2015,10,3.16227766,144566.6197,1445666.197,HatchBack,5,Electric,Automatic,1499,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,7,1.912931183,2,1.25992105,3,1.44224957,0,0,12,2.289428485,3.9,50,100,8.77971129,7,1,medium
Used,Honda,0,e:N,123,e:NS1,187,2023,2,1.414213562,24945.20022,49890.40044,SUV,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,10,2.15443469,8,2,20,2.714417617,8,1,38,3.361975407,13.4,50,449,9.998843186,7,1,large
Used,Fiat,0,500,5,500e,12,2015,10,3.16227766,124946.189,1249461.89,Coupe,4,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1.817120593,1,1,2,1.25992105,0,0,9,2.080083823,2.9,59,149,8.732465848,7,1,small
Used,Fiat,0,500,5,500e,12,2017,8,2.828427125,200000,1600000,HatchBack,4,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Partially repainted,2,1,1,1,1,0,1,0,0,1,1,0,0,0,0,11,2.223980091,4,1.587401052,11,2.223980091,4,1,26,2.962496068,8.9,59,149,8.612685173,6,0,medium
Used,Chevrolet,0,Spark,107,Base,21,2015,10,3.16227766,115435.516,1154355.16,HatchBack,4,Electric,Automatic,1499,American Specs,Licensed,Compulsory Insurance,With Customs,Good (body only has minor blemishes),3,Original Paint,3,1,1,1,0,0,1,0,0,1,1,0,0,0,1,9,2.080083823,3,1.44224957,11,2.223980091,5,1,23,2.84386698,8,50,149,8.612685173,6,0,medium
Used,Volkswagen,0,ID 4,67,ID.4 Crozz Pro,92,2023,2,1.414213562,15049.31961,30098.63922,SUV,5,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,12,2.289428485,10,2.15443469,18,2.620741394,7,1,40,3.419951893,13.8,79,500,10.11863925,7,1,large
Used,Ford,0,Focus,57,Titanium,172,2017,8,2.828427125,124873.8284,998990.6272,HatchBack,5,Electric,Automatic,1499,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Partially repainted,2,1,1,1,1,1,1,0,1,1,1,1,0,0,1,12,2.289428485,8,2,15,2.466212074,6,1,35,3.27106631,12,59,249,9.296609807,6,0,medium
Used,Mercedes Benz,1,EQS-Class,40,EQS 450+,55,2023,2,1.414213562,54863.64989,109727.2998,Sedan,5,Electric,Automatic,1499,American Specs,Licensed,Compulsory Insurance,With Customs,Other,0,Other,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,11,2.223980091,11,2.223980091,14,2.410142264,7,1,36,3.301927249,12.2,100,500,11.29808485,0,0,medium
Used,Honda,0,e:N,123,e:NS1,187,2022,3,1.732050808,34899.96017,104699.8805,SUV,5,Electric,Automatic,1499,Japanese Specs,Licensed,Comprehensive Insurance,With Customs,Good (body only has minor blemishes),3,Partially repainted,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,12,2.289428485,12,2.289428485,19,2.668401649,7,1,43,3.50339806,14.8,59,449,9.852246888,5,0,large
Used,Chevrolet,0,Spark,107,Spark,161,2016,9,3,15340.1784,138061.6056,HatchBack,5,Electric,Automatic,1499,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Total repaint,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,16,2.5198421,10,2.15443469,1,1,0,0,27,3,8.2,59,100,8.899184943,5,0,medium
Used,Kia,0,EV6,47,Wind RWD,179,2022,3,1.732050808,55284.41332,165853.24,Sedan,5,Electric,Automatic,249,Korean Specs,Licensed,Compulsory Insurance,With Customs,Good (body only has minor blemishes),3,Partially repainted,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2.466212074,9,2.080083823,20,2.714417617,8,1,44,3.530348335,15.2,79,449,10.1266711,5,0,medium
Used,Mercedes Benz,1,EQB-Class,37,EQB 250,48,2023,2,1.414213562,5557.504027,11115.00805,SUV,5,Electric,Automatic,1499,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2.289428485,11,2.223980091,20,2.714417617,8,1,43,3.50339806,14.9,59,449,10.44001016,7,1,large
Used,Tesla,1,Model 3,81,Long Range,111,2022,3,1.732050808,75448.89591,226346.6877,Sedan,5,Electric,Automatic,5499,American Specs,Licensed,Compulsory Insurance,With Customs,Good (body only has minor blemishes),3,Partially repainted,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2.351334688,12,2.289428485,20,2.714417617,8,1,45,3.556893304,15.5,79,500,10.10646921,5,0,medium
Used,Ford,0,Mustang,85,GT,81,2021,4,2,44883.21657,179532.8663,HatchBack,5,Electric,Automatic,4499,European Specs,Not Licensed,Not Insured,Without Customs,Other,0,Other,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2.466212074,11,2.223980091,22,2.802039331,8,1,48,3.634241186,16.6,79,349,9.952325335,0,0,medium
Used,MG,0,MG ZS EV,75,MG ZS EV,114,2021,4,2,25060.12629,100240.5052,SUV,5,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Other,0,Other,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2.289428485,13,2.351334688,21,2.758924176,8,1,46,3.583047871,15.9,59,349,9.615872145,0,0,large
Used,Changan,0,Eado,51,EV460,64,2022,3,1.732050808,84902.3261,254706.9783,SUV,5,Electric,Automatic,1499,Korean Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,0,1,1,1,1,0,0,0,1,1,0,0,0,1,8,2,7,1.912931183,13,2.351334688,4,1,28,3.036588972,9.7,59,449,9.380167531,7,1,large
Used,Volkswagen,0,ID 6,68,ID.6 Crozz Pro,96,2022,3,1.732050808,15044.27172,45132.81516,SUV,7,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,13,2.351334688,11,2.223980091,18,2.620741394,7,1,42,3.476026645,14.4,79,500,10.2399955,7,1,large
Used,Nissan,0,Leaf,74,SV,152,2018,7,2.645751311,95126.67254,665886.7078,HatchBack,4,Electric,Automatic,1499,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Partially repainted,2,0,1,1,1,0,1,0,0,1,0,1,1,0,1,9,2.080083823,5,1.709975947,11,2.223980091,6,1,25,2.924017738,8.6,50,149,9.392745259,6,0,medium
Used,Neta,0,U,114,Pro 400,131,2022,3,1.732050808,75371.35867,226114.076,SUV,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2.15443469,9,2.080083823,21,2.758924176,8,1,40,3.419951893,14.1,59,449,9.615872145,7,1,large
Used,Toyota,0,bZ,119,bZ3X,182,2023,2,1.414213562,25174.34438,50348.68876,Sedan,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2.289428485,13,2.351334688,20,2.714417617,8,1,45,3.556893304,15.5,59,500,9.87307989,7,1,medium
Used,Hyundai,0,Ioniq,70,6,13,2023,2,1.414213562,15383.10951,30766.21902,Sedan,5,Electric,Automatic,1499,American Specs,Licensed,Compulsory Insurance,With Customs,Good (body only has minor blemishes),3,Partially repainted,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,2.223980091,10,2.15443469,18,2.620741394,8,1,39,3.391211443,13.5,79,500,10.04329297,5,0,medium
New,Lexus,1,UX,115,UX 300h,174,2022,3,1.732050808,0,0,SUV,5,Electric,Automatic,1499,Japanese Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,0,1,1,1,1,0,0,1,1,12,2.289428485,12,2.289428485,11,2.223980091,5,1,35,3.27106631,11.6,59,349,10.26468724,7,1,large
New,BYD,0,Song L,104,Song L,158,2024,1,1,0,0,SUV,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,12,2.289428485,12,2.289428485,13,2.351334688,7,1,37,3.332221852,12.4,79,500,10.49130199,7,1,large
Used,Toyota,0,bZ,119,bZ4X,183,2023,2,1.414213562,14696.76596,29393.53192,Sedan,5,Electric,Automatic,1499,Japanese Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,2.223980091,11,2.223980091,14,2.410142264,8,1,36,3.301927249,12.2,59,500,10.14647295,7,1,medium
New,Changan,0,Deepal,25,S7,144,2024,1,1,0,0,SUV,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,11,2.223980091,12,2.289428485,15,2.466212074,7,1,38,3.361975407,12.9,59,500,10.26468724,7,1,large
New,BYD,0,Song Plus,105,Song Plus,159,2024,1,1,0,0,SUV,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,0,1,1,1,1,1,1,1,0,8,2,12,2.289428485,13,2.351334688,6,1,33,3.20753433,11.2,79,500,10.25769445,7,1,large
New,Changan,0,Hunter,64,Standard,164,2023,2,1.414213562,0,0,PickUp,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,0,0,0,1,1,0,0,0,0,7,1.912931183,10,2.15443469,8,2,3,0,25,2.924017738,8.3,59,449,10.16203686,7,1,large
New,BYD,0,Tang,111,Tang,168,2024,1,1,0,0,SUV,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,11,2.223980091,11,2.223980091,14,2.410142264,7,1,36,3.301927249,12.2,79,500,10.58913166,7,1,large
New,BYD,0,Seagull,101,Seagull,154,2024,1,1,0,0,SUV,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,0,1,0,0,1,1,0,0,0,0,1,8,2,8,2,8,2,3,0,24,2.884499141,8,50,449,9.561067664,7,1,large
Used,Tesla,1,Model 3,81,Standard Plus,165,2022,3,1.732050808,24951.22558,74853.67674,SUV,5,Electric,Automatic,5499,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2.466212074,12,2.289428485,22,2.802039331,8,1,49,3.65930571,16.9,59,449,9.980494889,7,1,large
Used,Volkswagen,0,Lavida,73,E-lavida,39,2021,4,2,145379.0794,581516.3176,Sedan,5,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Good (body only has minor blemishes),3,Partially repainted,2,1,1,0,1,0,1,0,0,1,1,0,0,0,1,6,1.817120593,6,1.817120593,10,2.15443469,4,1,22,2.802039331,7.6,50,249,9.457278572,5,0,medium
Used,Volkswagen,0,ID 6,68,ID.6 Crozz Pro,96,2022,3,1.732050808,75485.6792,226457.0376,SUV,5,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2.466212074,13,2.351334688,22,2.802039331,8,1,50,3.684031499,17.2,79,500,10.10646921,7,1,large
Used,Tesla,1,Model 3,81,Standard Plus,165,2023,2,1.414213562,14708.82011,29417.64022,Sedan,5,Electric,Automatic,5499,American Specs,Licensed,Compulsory Insurance,With Customs,Other,0,Other,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2.466212074,13,2.351334688,23,2.84386698,8,1,51,3.708429769,17.6,79,449,9.985113621,0,0,medium
Used,Tesla,1,Model X,83,Long Range Plus,112,2020,5,2.236067977,34612.84116,173064.2058,SUV,7,Electric,Automatic,2499,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,2.5198421,13,2.351334688,21,2.758924176,8,1,50,3.684031499,17.1,100,500,10.58408127,7,1,large
